ID,could_defendant_retreat,defendant_pursue,outcome,weapon_victim,initiator,race_victim
198,yes,no,0,unarmed,1,2
199,yes,yes,1,unarmed,2,2
200,no,no,0,unarmed,1,2
201,unclear,no,0,unarmed,2,2
202,yes,no,0,unarmed,1,2
203,yes,no,0,unarmed,1,2
204,yes,no,0,weapon used,1,1
205,yes,no,0,unarmed,1,1
206,unclear,no,1,unarmed,3,2
207,yes,no,0,unarmed,3,1
208,yes,yes,0,unarmed,2,1
209,unclear,unclear,0,unarmed,3,2
210,yes,no,0,unarmed,1,1
211,unclear,unclear,1,unarmed,3,1
212,unclear,no,1,unarmed,3,2
213,yes,yes,0,weapon used,3,2
214,no,no,0,weapon used,3,2
215,unclear,no,0,unarmed,3,2
216,yes,yes,1,unarmed,2,1
217,unclear,no,1,weapon used,3,1
218,yes,no,0,unarmed,1,2
221,yes,no,0,unarmed,1,2
222,no,no,1,unarmed,1,2
223,yes,yes,0,weapon used,1,2
224,unclear,no,0,weapon used,3,2
225,yes,no,1,weapon used,1,2
226,yes,yes,0,unarmed,3,1
227,unclear,no,0,unarmed,1,2
228,yes,unclear,1,unarmed,3,2
229,no,no,0,unarmed,1,2
231,unclear,no,0,unarmed,3,2
232,yes,no,0,weapon used,3,2
233,no,no,0,unarmed,1,2
234,yes,no,0,weapon used,3,2
235,yes,yes,1,unarmed,1,2
236,yes,yes,0,unarmed,2,1
237,yes,yes,0,unarmed,2,1
